  
       RFOIL         Version 1.1
  
 Calculated polar for: NACA 2412                       
  
 1  Reynolds number fixed
  
 xtrf =   1.000 (suction)    1.000 (pressure)
 Rot. Parameters:  f0 =   1.000 c/r =   0.000
 Mach =   0.000     Re =     3.100 e 6     Ncrit =   9.000
  
   alpha     CL        CD      Re(CL)     CM     S_xtr   P_xtr    CDp  
  ------- -------- --------- --------- -------- ------- ------- -------- 
 -13.000  -1.2118   0.01448   3.10000  -0.0484  0.9989  0.0120   0.01030
 -12.000  -1.0945   0.01299   3.10000  -0.0511  0.9966  0.0130   0.00870
 -11.000  -0.9751   0.01135   3.10000  -0.0542  0.9934  0.0148   0.00698
 -10.000  -0.8588   0.01012   3.10000  -0.0559  0.9845  0.0170   0.00568
  -9.000  -0.7548   0.00915   3.10000  -0.0545  0.9609  0.0196   0.00464
  -8.000  -0.6481   0.00835   3.10000  -0.0535  0.9333  0.0232   0.00377
  -7.000  -0.5389   0.00769   3.10000  -0.0529  0.9007  0.0285   0.00301
  -6.000  -0.4282   0.00716   3.10000  -0.0525  0.8596  0.0366   0.00238
  -5.000  -0.3167   0.00672   3.10000  -0.0523  0.8103  0.0498   0.00187
  -4.000  -0.2048   0.00639   3.10000  -0.0521  0.7520  0.0730   0.00146
  -3.000  -0.0926   0.00614   3.10000  -0.0520  0.6866  0.1120   0.00116
  -2.000   0.0198   0.00593   3.10000  -0.0520  0.6219  0.1706   0.00095
  -1.000   0.1324   0.00579   3.10000  -0.0520  0.5587  0.2483   0.00085
   0.000   0.2449   0.00568   3.10000  -0.0521  0.5007  0.3467   0.00084
   1.000   0.3568   0.00550   3.10000  -0.0521  0.4492  0.4964   0.00091
   2.000   0.4677   0.00544   3.10000  -0.0520  0.3903  0.6592   0.00109
   3.000   0.5758   0.00563   3.10000  -0.0512  0.3123  0.8140   0.00141
   4.000   0.6772   0.00611   3.10000  -0.0488  0.2261  0.9477   0.00190
   5.000   0.7939   0.00714   3.10000  -0.0502  0.1354  0.9962   0.00256
   6.000   0.9045   0.00819   3.10000  -0.0505  0.0765  1.0000   0.00330
   7.000   1.0039   0.00914   3.10000  -0.0483  0.0475  1.0000   0.00407
   8.000   1.1047   0.01010   3.10000  -0.0465  0.0330  1.0000   0.00494
   9.000   1.2037   0.01113   3.10000  -0.0445  0.0249  1.0000   0.00594
  10.000   1.2989   0.01232   3.10000  -0.0421  0.0199  1.0000   0.00712
  11.000   1.3886   0.01366   3.10000  -0.0389  0.0164  1.0000   0.00850
  12.000   1.4653   0.01523   3.10000  -0.0336  0.0140  1.0000   0.01012
  13.000   1.5291   0.01710   3.10000  -0.0267  0.0125  1.0000   0.01210
  14.000   1.5798   0.01979   3.10000  -0.0194  0.0113  1.0000   0.01494
  15.000   1.6128   0.02391   3.10000  -0.0123  0.0103  1.0000   0.01925
  16.000   1.6239   0.03048   3.10000  -0.0068  0.0096  1.0000   0.02609
  17.000   1.6070   0.04094   3.10000  -0.0049  0.0092  1.0000   0.03690
  18.000   1.5412   0.05854   3.10000  -0.0087  0.0090  1.0000   0.05496
