   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    1.000084    0.001257    0.000000    0.000000    0.000000    0.100000
    0.990344    0.003275    0.000024    0.000876    0.000002    0.099994
    0.980649    0.005256    0.000097    0.001748    0.000010    0.099976
    0.970997    0.007201    0.000218    0.002616    0.000022    0.099945
    0.961390    0.009110    0.000388    0.003481    0.000039    0.099903
    0.951828    0.010985    0.000607    0.004342    0.000061    0.099848
    0.942310    0.012826    0.000874    0.005199    0.000087    0.099782
    0.932837    0.014634    0.001189    0.006053    0.000119    0.099703
    0.923408    0.016408    0.001553    0.006902    0.000155    0.099612
    0.914025    0.018151    0.001966    0.007748    0.000196    0.099509
    0.904687    0.019861    0.002427    0.008591    0.000242    0.099393
    0.895393    0.021541    0.002936    0.009429    0.000293    0.099266
    0.886145    0.023190    0.003494    0.010264    0.000348    0.099126
    0.876942    0.024809    0.004101    0.011094    0.000408    0.098975
    0.867785    0.026398    0.004756    0.011921    0.000473    0.098811
    0.858673    0.027957    0.005460    0.012744    0.000542    0.098635
    0.849607    0.029488    0.006212    0.013563    0.000616    0.098447
    0.840586    0.030991    0.007013    0.014378    0.000695    0.098247
    0.831611    0.032465    0.007862    0.015188    0.000779    0.098034
    0.822682    0.033912    0.008760    0.015995    0.000866    0.097810
    0.813799    0.035331    0.009707    0.016797    0.000959    0.097573
    0.804962    0.036724    0.010702    0.017595    0.001056    0.097325
    0.796171    0.038090    0.011745    0.018389    0.001157    0.097064
    0.787426    0.039430    0.012837    0.019178    0.001263    0.096791
    0.778727    0.040744    0.013978    0.019963    0.001373    0.096506
    0.770074    0.042032    0.015167    0.020744    0.001488    0.096208
    0.761468    0.043295    0.016404    0.021520    0.001607    0.095899
    0.752908    0.044533    0.017690    0.022291    0.001730    0.095577
    0.744394    0.045746    0.019025    0.023058    0.001857    0.095244
    0.735927    0.046935    0.020408    0.023819    0.001989    0.094898
    0.727506    0.048099    0.021840    0.024576    0.002124    0.094540
    0.719133    0.049239    0.023320    0.025328    0.002264    0.094170
    0.710805    0.050355    0.024849    0.026075    0.002408    0.093788
    0.702525    0.051448    0.026426    0.026817    0.002555    0.093393
    0.694291    0.052518    0.028052    0.027553    0.002707    0.092987
    0.686104    0.053564    0.029727    0.028284    0.002862    0.092568
    0.677964    0.054587    0.031449    0.029010    0.003021    0.092138
    0.669871    0.055587    0.033221    0.029731    0.003184    0.091695
    0.661825    0.056565    0.035041    0.030446    0.003351    0.091240
    0.653826    0.057521    0.036909    0.031155    0.003521    0.090773
    0.645874    0.058454    0.038826    0.031858    0.003694    0.090293
    0.637969    0.059365    0.040792    0.032556    0.003871    0.089802
    0.630112    0.060254    0.042806    0.033247    0.004052    0.089298
    0.622301    0.061121    0.044869    0.033932    0.004235    0.088783
    0.614538    0.061967    0.046980    0.034612    0.004422    0.088255
    0.606822    0.062791    0.049140    0.035285    0.004612    0.087715
    0.599154    0.063593    0.051348    0.035951    0.004805    0.087163
    0.591533    0.064375    0.053605    0.036611    0.005001    0.086599
    0.583959    0.065135    0.055910    0.037265    0.005200    0.086022
    0.576433    0.065875    0.058264    0.037911    0.005402    0.085434
    0.568955    0.066593    0.060666    0.038551    0.005607    0.084833
    0.561524    0.067291    0.063117    0.039184    0.005814    0.084221
    0.554141    0.067969    0.065617    0.039810    0.006023    0.083596
    0.546805    0.068625    0.068165    0.040429    0.006236    0.082959
    0.539517    0.069262    0.070761    0.041040    0.006450    0.082310
    0.532277    0.069878    0.073406    0.041644    0.006667    0.081648
    0.525085    0.070474    0.076100    0.042240    0.006886    0.080975
    0.517941    0.071050    0.078842    0.042829    0.007107    0.080289
    0.510844    0.071606    0.081633    0.043410    0.007330    0.079592
    0.503796    0.072143    0.084472    0.043983    0.007555    0.078882
    0.496795    0.072659    0.087360    0.044548    0.007782    0.078160
    0.489843    0.073156    0.090296    0.045105    0.008010    0.077426
    0.482938    0.073634    0.093281    0.045653    0.008240    0.076680
    0.476081    0.074092    0.096314    0.046194    0.008472    0.075922
    0.469273    0.074531    0.099396    0.046725    0.008705    0.075151
    0.462513    0.074951    0.102526    0.047249    0.008939    0.074368
    0.455801    0.075352    0.105705    0.047763    0.009174    0.073574
    0.449137    0.075734    0.108933    0.048268    0.009410    0.072767
    0.442522    0.076097    0.112208    0.048765    0.009647    0.071948
    0.435954    0.076441    0.115533    0.049252    0.009885    0.071117
    0.429436    0.076766    0.118906    0.049730    0.010123    0.070273
    0.422965    0.077074    0.122328    0.050199    0.010362    0.069418
    0.416543    0.077362    0.125798    0.050658    0.010602    0.068551
    0.410169    0.077633    0.129316    0.051108    0.010841    0.067671
    0.403844    0.077885    0.132884    0.051548    0.011081    0.066779
    0.397548    0.078119    0.136499    0.051978    0.011321    0.065875
    0.391270    0.078330    0.140164    0.052398    0.011561    0.064959
    0.385040    0.078518    0.143876    0.052808    0.011800    0.064031
    0.378859    0.078683    0.147638    0.053208    0.012039    0.063091
    0.372727    0.078826    0.151448    0.053598    0.012278    0.062138
    0.366643    0.078946    0.155306    0.053977    0.012516    0.061174
    0.360608    0.079043    0.159213    0.054346    0.012753    0.060197
    0.354623    0.079119    0.163168    0.054704    0.012989    0.059208
    0.348686    0.079173    0.167172    0.055051    0.013224    0.058207
    0.342799    0.079206    0.171225    0.055388    0.013458    0.057194
    0.336960    0.079217    0.175326    0.055713    0.013690    0.056169
    0.331171    0.079208    0.179475    0.056027    0.013921    0.055131
    0.325431    0.079177    0.183673    0.056331    0.014150    0.054082
    0.319741    0.079126    0.187920    0.056623    0.014378    0.053020
    0.314100    0.079055    0.192215    0.056903    0.014603    0.051946
    0.308508    0.078964    0.196559    0.057172    0.014826    0.050860
    0.302966    0.078853    0.200951    0.057430    0.015047    0.049762
    0.297473    0.078723    0.205392    0.057676    0.015266    0.048652
    0.292030    0.078573    0.209881    0.057910    0.015482    0.047530
    0.286637    0.078404    0.214419    0.058132    0.015695    0.046395
    0.281293    0.078217    0.219006    0.058343    0.015905    0.045249
    0.275999    0.078011    0.223640    0.058541    0.016112    0.044090
    0.270755    0.077786    0.228324    0.058727    0.016316    0.042919
    0.265560    0.077544    0.233056    0.058901    0.016516    0.041736
    0.260416    0.077284    0.237836    0.059063    0.016713    0.040541
    0.255322    0.077007    0.242665    0.059212    0.016906    0.039334
    0.250277    0.076712    0.247543    0.059349    0.017095    0.038114
