  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.170     Re =     5.674 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -12.000  -1.1193   0.01174   0.00773  -0.0596   0.9946   0.0107
 -11.000  -1.0076   0.01043   0.00634  -0.0585   0.9820   0.0119
 -10.000  -0.9009   0.00938   0.00521  -0.0563   0.9601   0.0135
  -9.000  -0.7905   0.00852   0.00423  -0.0548   0.9280   0.0156
  -8.000  -0.6771   0.00778   0.00341  -0.0539   0.8955   0.0186
  -7.000  -0.5626   0.00718   0.00272  -0.0534   0.8574   0.0229
  -5.000  -0.3318   0.00632   0.00169  -0.0529   0.7551   0.0403
  -4.000  -0.2161   0.00604   0.00132  -0.0529   0.6941   0.0578
  -3.000  -0.1002   0.00581   0.00105  -0.0530   0.6313   0.0880
  -2.000   0.0155   0.00562   0.00086  -0.0531   0.5690   0.1381
  -1.000   0.1315   0.00549   0.00076  -0.0534   0.5109   0.2027
  -0.000   0.2475   0.00536   0.00074  -0.0537   0.4640   0.2926
   1.000   0.3632   0.00525   0.00079  -0.0540   0.4188   0.4095
   2.000   0.4774   0.00516   0.00094  -0.0541   0.3636   0.5767
   3.000   0.5899   0.00537   0.00123  -0.0538   0.2882   0.7217
   4.000   0.6996   0.00578   0.00167  -0.0529   0.2044   0.8679
   5.000   0.8029   0.00644   0.00226  -0.0504   0.1281   0.9704
   6.000   0.9263   0.00740   0.00294  -0.0526   0.0725   0.9991
   7.000   1.0343   0.00829   0.00365  -0.0514   0.0445   1.0000
   8.000   1.1395   0.00919   0.00445  -0.0495   0.0303   1.0000
   9.000   1.2445   0.01017   0.00536  -0.0476   0.0221   1.0000
  10.000   1.3475   0.01124   0.00640  -0.0454   0.0173   1.0000
  11.000   1.4466   0.01247   0.00763  -0.0426   0.0140   1.0000
  12.000   1.5405   0.01386   0.00904  -0.0390   0.0118   1.0000
  -6.000  -0.4474   0.00671   0.00216  -0.0531   0.8103   0.0292
