  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5813   0.00894   0.00349  -0.0054   0.9849   0.1206
  -4.000  -0.4498   0.00764   0.00259  -0.0078   0.9627   0.2195
  -3.000  -0.3377   0.00667   0.00197  -0.0057   0.9173   0.3322
  -2.000  -0.2261   0.00606   0.00155  -0.0034   0.8493   0.4445
  -1.000  -0.1133   0.00575   0.00130  -0.0016   0.7605   0.5546
   0.000   0.0001   0.00566   0.00122  -0.0000   0.6599   0.6598
   1.000   0.1134   0.00575   0.00130   0.0016   0.5540   0.7607
   2.000   0.2262   0.00606   0.00155   0.0034   0.4443   0.8492
   3.000   0.3378   0.00667   0.00197   0.0056   0.3327   0.9173
   4.000   0.4499   0.00764   0.00259   0.0078   0.2194   0.9626
   5.000   0.5813   0.00894   0.00349   0.0054   0.1206   0.9849
   6.000   0.7298   0.01039   0.00467  -0.0005   0.0640   0.9939
   7.000   0.8741   0.01192   0.00616  -0.0052   0.0411   1.0000
   8.000   0.9579   0.01345   0.00776   0.0027   0.0318   1.0000
   9.000   1.0419   0.01535   0.00985   0.0106   0.0261   1.0000
  10.000   1.1251   0.01790   0.01267   0.0181   0.0220   1.0000
  11.000   1.1942   0.02146   0.01662   0.0265   0.0192   1.0000
  12.000   1.2247   0.02670   0.02228   0.0370   0.0174   1.0000
  13.000   1.2275   0.03689   0.03314   0.0399   0.0163   1.0000
  14.000   1.1966   0.05546   0.05230   0.0309   0.0155   1.0000
  15.000   1.1253   0.08182   0.07913   0.0161   0.0153   1.0000
  16.000   1.0392   0.11217   0.10984  -0.0004   0.0152   1.0000
  17.000   0.9446   0.14764   0.14563  -0.0202   0.0152   1.0000
  18.000   0.7892   0.21528   0.21344  -0.0546   0.0141   1.0000
